style,price,suitable_coats,suitable_sizes,maintenance_level,rainy_fit,dry_fit,clip_intensity,undercoat_safe,base_popularity,description
Puppy Cut,800,curly|silky|single|wire,small|medium,0.35,0.82,0.78,0.65,1,0.82,Uniform low-maintenance trim that is easier to clean and dry.
Teddy Bear Cut,800,curly|silky,small|medium,0.65,0.58,0.62,0.55,1,0.78,Rounded face and softly shaped body for curly or silky coats.
Feathered Trim,1100,double|silky,medium|large,0.78,0.42,0.55,0.25,1,0.64,"Maintains natural feathering while tidying legs, tail, and ears."
Lamb Cut,800,curly,small|medium|large,0.58,0.52,0.6,0.6,1,0.68,Shorter body with fuller legs for curly-coated breeds.
Lion Cut,1200,curly|silky,small|medium|large,0.72,0.4,0.48,0.85,0,0.5,Short body with a fuller mane; suitable only when coat and skin condition allow.
Summer Cut,750,single|silky|curly|wire,small|medium|large,0.25,0.48,0.88,0.9,0,0.74,"Short easy-care trim for suitable single, silky, curly, or wire coats."
Sanitary Trim,800,single|double|silky|curly|wire,small|medium|large,0.18,0.95,0.82,0.2,1,0.85,Hygiene-focused trimming around paws and sanitary areas.
Show Cut,1500,curly|silky|double|wire,small|medium|large,0.95,0.32,0.45,0.45,1,0.42,Breed-standard styling that requires high coat maintenance.
Bath & Brush Only,600,single|double|silky|curly|wire,small|medium|large,0.2,0.9,0.78,0.0,1,0.88,"Bath, drying, and brushing without major coat removal."
De-shedding Treatment,700,double|single,small|medium|large,0.3,0.92,0.9,0.05,1,0.9,Undercoat removal and brushing to control loose hair without shaving.
